station,time,From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,TOT-RF,latitude,longitude
"Okhla Phase-2, Delhi - DPCC",2022-01-01 00:30:00,2022-01-01 00:00:00,2022-01-01 01:00:00,326.0,469.5,134.97,74.83,150.35,68.38,10.2,1.95,3.73,10.7,83.53,73.25,0.48,37.22,4.15,997.67,10.38,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 01:30:00,2022-01-01 01:00:00,2022-01-01 02:00:00,330.75,478.25,117.17,70.8,133.32,60.5,10.88,1.6,3.33,10.25,83.45,74.38,0.4,81.57,4.15,997.48,10.08,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 02:30:00,2022-01-01 02:00:00,2022-01-01 03:00:00,304.25,417.0,75.1,69.6,98.17,61.42,10.45,0.98,2.88,8.7,81.47,73.4,0.5,138.45,4.12,997.2,10.2,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 03:30:00,2022-01-01 03:00:00,2022-01-01 04:00:00,259.5,354.25,72.9,70.2,96.6,60.52,10.25,0.57,3.03,7.3,68.9,73.83,0.53,149.03,4.15,997.02,10.03,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 04:30:00,2022-01-01 04:00:00,2022-01-01 05:00:00,245.0,339.5,74.12,70.28,97.7,66.1,9.83,0.33,4.28,7.0,57.52,74.47,0.57,133.0,4.2,996.7,9.68,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 05:30:00,2022-01-01 05:00:00,2022-01-01 06:00:00,230.0,316.5,65.2,64.55,87.35,71.88,8.0,0.23,3.3,6.97,54.6,74.68,0.47,36.0,4.17,996.83,9.25,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 06:30:00,2022-01-01 06:00:00,2022-01-01 07:00:00,215.75,298.5,45.22,63.25,70.55,66.57,7.07,1.0,3.02,6.27,54.73,75.47,0.43,84.8,4.2,997.1,8.97,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 07:30:00,2022-01-01 07:00:00,2022-01-01 08:00:00,201.25,280.5,58.5,64.72,82.0,66.35,8.28,1.08,3.85,6.22,52.88,75.72,0.38,52.6,10.32,997.62,9.07,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 08:30:00,2022-01-01 08:00:00,2022-01-01 09:00:00,206.75,299.25,43.65,72.65,74.12,62.7,8.97,1.0,4.17,6.3,48.73,70.88,0.65,99.95,33.22,998.45,10.35,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 09:30:00,2022-01-01 09:00:00,2022-01-01 10:00:00,212.0,318.0,35.5,77.82,70.33,57.9,10.43,0.95,6.0,5.75,42.4,67.38,0.88,157.8,61.65,999.03,12.1,0.0,0.0,28.530785,77.271255
"Okhla Phase-2, Delhi - DPCC",2022-01-01 10:30:00,2022-01-01 10:00:00,2022-01-01 11:00:00,209.5,323.5,17.38,76.7,54.95,57.85,11.5,0.78,16.88,5.12,34.95,61.18,1.32,157.85,117.03,999.35,14.48,0.0,0.0,28.530785,77.271255
